j,"S_th(0,0)","S_exp(0,0)-M","S_exp(0,0)-SD","S_th(-10,10)","S_exp(-10,10)-M","S_exp(-10,10)-SD","S_th(15,-15)","S_exp(15,-15)-M","S_exp(15,-15)-SD",j_subfigure,"S_subfigure(0,0)","S_subfigure(-10,10)","S_subfigure(15,-15)"
760001 ,0.45736 ,0.51333 ,0.01376 ,0.64472 ,0.61973 ,0.01054 ,0.91473 ,1.02857 ,0.01758 ,77,0.00950 ,0.19240 ,0.46938 
770001 ,0.45736 ,0.46054 ,0.02518 ,0.64472 ,0.62585 ,0.00905 ,0.91473 ,0.99041 ,0.00639 ,78,0.01980 ,0.18376 ,0.47521 
780001 ,0.45736 ,0.52576 ,0.02797 ,0.65023 ,0.61695 ,0.01020 ,0.91473 ,1.01145 ,0.02217 ,79,0.00531 ,0.18515 ,0.46941 
790001 ,0.46287 ,0.46978 ,0.01127 ,0.65023 ,0.64484 ,0.01612 ,0.92024 ,1.04245 ,0.01379 ,80,0.01560 ,0.18150 ,0.48365 
800001 ,0.46838 ,0.44631 ,0.01378 ,0.65023 ,0.69722 ,0.02098 ,0.92024 ,0.99893 ,0.03902 ,81,0.01806 ,0.18113 ,0.48431 
810001 ,0.46838 ,0.47855 ,0.01398 ,0.65574 ,0.61323 ,0.00247 ,0.92575 ,0.99350 ,0.01611 ,82,0.00464 ,0.17772 ,0.49241 
820001 ,0.46838 ,0.45358 ,0.01511 ,0.65574 ,0.60682 ,0.00924 ,0.93126 ,1.05374 ,0.01387 ,83,0.01494 ,0.17542 ,0.49884 
830001 ,0.47390 ,0.54226 ,0.01369 ,0.66125 ,0.67489 ,0.01559 ,0.93126 ,0.98891 ,0.00903 ,84,-0.00118 ,0.17670 ,0.50085 
840001 ,0.47390 ,0.49477 ,0.01178 ,0.66125 ,0.64611 ,0.01274 ,0.93677 ,1.04654 ,0.01657 ,85,0.00841 ,0.17440 ,0.47946 
850001 ,0.47941 ,0.48783 ,0.01197 ,0.66676 ,0.61782 ,0.01158 ,0.93677 ,1.01566 ,0.00882 ,86,0.00190 ,0.16859 ,0.48072 
860001 ,0.47941 ,0.56654 ,0.00851 ,0.66676 ,0.71520 ,0.02247 ,0.94228 ,1.01040 ,0.01902 ,87,0.01220 ,0.16629 ,0.47480 
870001 ,0.48492 ,0.46125 ,0.01545 ,0.67227 ,0.66673 ,0.01388 ,0.94228 ,1.09313 ,0.03201 ,88,-0.00229 ,0.18659 ,0.46900 
880001 ,0.48492 ,0.46609 ,0.00592 ,0.67227 ,0.66798 ,0.01798 ,0.94779 ,1.00048 ,0.01617 ,89,0.00923 ,0.18048 ,0.47874 
890001 ,0.48492 ,0.52419 ,0.01084 ,0.67227 ,0.68106 ,0.01586 ,0.94779 ,1.05424 ,0.01784 ,90,0.01882 ,0.18655 ,0.48324 
900001 ,0.49043 ,0.54137 ,0.00872 ,0.67778 ,0.65919 ,0.00528 ,0.95330 ,1.02467 ,0.01039 ,91,0.01258 ,0.17994 ,0.48390 
910001 ,0.49043 ,0.50493 ,0.02605 ,0.67778 ,0.66381 ,0.01932 ,0.95330 ,1.03010 ,0.01719 ,92,0.00645 ,0.18601 ,0.49050 
920001 ,0.49043 ,0.47825 ,0.02826 ,0.68329 ,0.66678 ,0.01585 ,0.95881 ,0.97870 ,0.02674 ,93,0.00891 ,0.17424 ,0.49200 
930001 ,0.49594 ,0.51604 ,0.00185 ,0.68329 ,0.63823 ,0.01143 ,0.96432 ,1.02042 ,0.02132 ,94,-0.00613 ,0.17193 ,0.49843 
940001 ,0.49594 ,0.54911 ,0.01883 ,0.68329 ,0.63772 ,0.01285 ,0.96432 ,1.00611 ,0.00516 ,95,0.02260 ,0.18630 ,0.50503 
950001 ,0.50145 ,0.47347 ,0.01028 ,0.68880 ,0.66833 ,0.00931 ,0.96432 ,1.02181 ,0.01839 ,96,0.02506 ,0.18399 ,0.50715 
960001 ,0.50145 ,0.50838 ,0.01089 ,0.68880 ,0.69410 ,0.01346 ,0.96983 ,0.98490 ,0.02675 ,97,0.01164 ,0.18494 ,0.50043 
970001 ,0.50145 ,0.49320 ,0.01868 ,0.69431 ,0.63894 ,0.01423 ,0.96983 ,1.02662 ,0.00422 ,98,0.02194 ,0.18098 ,0.47311 
980001 ,0.50696 ,0.52579 ,0.00375 ,0.69431 ,0.69402 ,0.01247 ,0.97534 ,1.05541 ,0.02765 ,99,0.00582 ,0.19339 ,0.48537 
990001 ,0.50696 ,0.52595 ,0.00230 ,0.69982 ,0.66666 ,0.01620 ,0.98085 ,1.06509 ,0.02300 ,100,0.01541 ,0.17428 ,0.48749 
1000001 ,0.50696 ,0.48533 ,0.02080 ,0.69982 ,0.66763 ,0.01224 ,0.98085 ,1.03666 ,0.00046 ,101,0.00808 ,0.17197 ,0.47003 
1010001 ,0.51247 ,0.50255 ,0.02252 ,0.69982 ,0.68567 ,0.01382 ,0.98636 ,1.03042 ,0.02421 ,102,0.00686 ,0.17155 ,0.47663 
1020001 ,0.51247 ,0.55143 ,0.02567 ,0.70533 ,0.67874 ,0.01066 ,0.98636 ,1.06527 ,0.02616 ,103,0.01645 ,0.19258 ,0.48018 
1030001 ,0.51798 ,0.52004 ,0.01335 ,0.70533 ,0.68042 ,0.00380 ,0.98636 ,1.08427 ,0.00856 ,104,0.01858 ,0.19027 ,0.49728 
1040001 ,0.51798 ,0.50418 ,0.01857 ,0.70533 ,0.65596 ,0.01406 ,0.99187 ,0.99247 ,0.01687 ,105,0.02104 ,0.20569 ,0.46585 
1050001 ,0.51798 ,0.53454 ,0.02481 ,0.71084 ,0.68752 ,0.01740 ,0.99739 ,1.02094 ,0.01223 ,106,0.00762 ,0.20300 ,0.46651 
